,agent_idx,o_x,o_y,d_x,d_y,departure_sec
47,31,-87.5809818183444,41.75898484686715,-87.64537403651647,41.862767178595156,27000
48,32,-87.67815636544434,41.97918455567199,-87.68116696733362,41.80791826548162,27000
49,32,-87.68116696733362,41.80791826548162,-87.63310820762567,41.72139065473337,28800
50,33,-87.75148866286452,41.879218695028904,-87.57250225160354,41.742472973838574,28800
51,33,-87.57250225160354,41.742472973838574,-87.75148866286452,41.879218695028904,63000
52,34,-87.61886792075333,41.72750348008708,-87.66387321184448,41.757500505142566,25200
53,34,-87.66387321184448,41.757500505142566,-87.64189281300243,41.686606349001856,63000
54,35,-87.69531776408714,41.82886602093481,-87.62933734952011,41.75525229402591,21600
55,36,-87.75327825006265,41.89081854672787,-87.68001520417056,41.847205450314,25200
56,36,-87.68001520417056,41.847205450314,-87.68215723884344,41.71220211854249,34200
57,37,-87.77611083970898,41.96153816651857,-87.63637425992374,41.81769686525842,21600
58,38,-87.53819416946354,41.690635228356506,-87.60381482795114,41.76425082589226,30600
59,38,-87.60381482795114,41.76425082589226,-87.59797508106598,41.81197109664239,25200
60,39,-87.66424037266805,41.89411447582701,-87.712611607559,41.846440954942345,25200
61,39,-87.712611607559,41.846440954942345,-87.61317568483878,41.76559954807719,45000
62,40,-87.72674038303309,41.947360406197866,-87.65664234497382,41.832549338371905,25200
63,41,-87.71661779590588,41.7037113501699,-87.71474374453318,41.87325527217647,25200
64,42,-87.69568272613651,41.78384384085626,-87.5787352323244,41.67980656232913,32400
65,42,-87.5787352323244,41.67980656232913,-87.55829910741869,41.64985664731825,63000
66,43,-87.80193018612779,41.97300967239936,-87.54735073494321,41.73246782250926,21600
67,43,-87.54735073494321,41.73246782250926,-87.64455934780514,41.792369552769465,26100
68,44,-87.64222648958729,41.71808160491995,-87.6203253370146,41.7045640003055,25200
69,44,-87.6203253370146,41.7045640003055,-87.76424564195305,41.89463197343603,32400
70,45,-87.72100129889857,41.961553560268285,-87.68306100428835,41.80171765576833,25200
71,46,-87.79075475222447,41.78447113554233,-87.7069776135494,41.945024337114965,23400
72,47,-87.8032058302595,41.93355672663536,-87.6820945796682,41.82718682056043,32400
73,48,-87.6633742446366,41.98051023666192,-87.74068626805742,41.961128237892815,23400
74,48,-87.74068626805742,41.961128237892815,-87.70165482843234,41.88129396588238,25200
75,49,-87.80132321604661,41.93309162359658,-87.7195368037814,41.80445606901459,28800
76,50,-87.75488707237778,41.91755181451111,-87.70399023418504,41.92730120516092,25200
77,51,-87.6929849117466,41.78946895699757,-87.66545999308727,41.812834206785034,28800
78,51,-87.66545999308727,41.812834206785034,-87.62903785505313,41.90370984912235,45000
79,52,-87.67798008767639,41.937266443343304,-87.65503127439545,41.88456929930444,25200
80,55,-87.65531162309007,41.93198998853379,-87.68995514674648,41.835851046502015,23400
81,55,-87.68995514674648,41.835851046502015,-87.69517053545688,41.925159015685736,28800
82,56,-87.8113562901157,41.949459878452714,-87.64137931726434,41.670927823410985,3600
83,57,-87.69748147640313,41.70422333033542,-87.68262466321701,41.81883262697045,25200
84,58,-87.71869144858536,41.8436075706901,-87.68395107563522,41.86723195294411,28800
85,58,-87.68395107563522,41.86723195294411,-87.64935901513682,41.92618421673883,34200
86,59,-87.6875226452061,41.7767602211336,-87.76260450767278,41.924232340309985,25200
87,59,-87.76260450767278,41.924232340309985,-87.76260450767278,41.924232340309985,45000
88,60,-87.6366525967043,41.6805528755836,-87.65039115510157,41.95478725556406,32400
89,61,-87.64491705689709,41.67923433415018,-87.72094001607287,41.73553719720487,3600
90,61,-87.72094001607287,41.73553719720487,-87.54691548946957,41.65238869697965,28800
91,62,-87.67037463855954,41.94778506904486,-87.66763683542041,41.80437770623562,28800
92,63,-87.67983455940592,41.71704484946146,-87.57967666356406,41.74752821516519,25200
93,63,-87.57967666356406,41.74752821516519,-87.6789509946311,41.97539316394245,61200
94,64,-87.69769295400934,41.9919310804076,-87.65715610480306,41.89190774785959,25200
95,65,-87.68843983173292,41.79545430945122,-87.71053648201496,41.873411324877026,25200
96,65,-87.71053648201496,41.873411324877026,-87.6287833289975,41.84980304804951,32400
97,66,-87.7526813733065,41.93197014224949,-87.6448374294171,41.76725032462593,28800
98,66,-87.6448374294171,41.76725032462593,-87.7526813733065,41.93197014224949,52200
99,68,-87.65682494142955,41.67092358738664,-87.64445300571137,41.7306590436795,25200
100,68,-87.64445300571137,41.7306590436795,-87.65964678817697,41.95076548024088,34200
101,69,-87.70908830324765,41.69958164079041,-87.69257468118145,41.854901222801566,21600
102,69,-87.69257468118145,41.854901222801566,-87.77276012668814,41.98071584445113,28800
103,70,-87.65303763603693,41.75872969499834,-87.70295234708601,41.787743780260364,28800
104,71,-87.71750264608983,41.781988027828035,-87.70406495328325,41.84504323282978,25200
105,71,-87.70406495328325,41.84504323282978,-87.71750264608983,41.781988027828035,28800
106,72,-87.67053268769405,41.91514164021494,-87.76164883251172,41.98181228592126,25200
107,72,-87.76164883251172,41.98181228592126,-87.61595106442132,41.818638078592166,30600
108,73,-87.76733882108849,41.792241580968515,-87.78937318617726,41.98752830975813,23400
109,74,-87.788373526666,41.993254827438776,-87.66580235970204,41.85911781180844,21600
110,74,-87.66580235970204,41.85911781180844,-87.5634606390446,41.66575308909722,27000
111,75,-87.69641520741257,41.96344639320516,-87.65726609511248,41.91832193797508,25200
112,76,-87.64053110784413,41.81333050013958,-87.66100109927996,41.80841624785432,27000
113,76,-87.66100109927996,41.80841624785432,-87.72004616819588,41.90249940377144,33300
114,77,-87.52727138881785,41.70140414892397,-87.67366935207944,41.793358102627955,28800
115,78,-87.62033227728432,41.8371197932867,-87.73428813699051,41.8580824528941,25200
116,78,-87.73428813699051,41.8580824528941,-87.65419919892808,41.87858521789672,30600
117,79,-87.7678030562767,41.93244768468564,-87.792257323346,41.93118835936177,21600
118,79,-87.792257323346,41.93118835936177,-87.7678030562767,41.93244768468564,32400
119,80,-87.73903684237088,41.73734925461449,-87.55627802316435,41.68454298592013,28800
120,80,-87.55627802316435,41.68454298592013,-87.55627802316435,41.68454298592013,63000
121,80,-87.55627802316435,41.68454298592013,-87.73903684237088,41.73734925461449,68400
122,81,-87.59523226099589,41.796574675444774,-87.71791104267948,41.815571118636925,23400
123,81,-87.71791104267948,41.815571118636925,-87.7260706447178,41.90418293736514,28800
124,82,-87.59728624960357,41.81620729723984,-87.58869652527645,41.753173635298026,25200
125,82,-87.58869652527645,41.753173635298026,-87.59728624960357,41.81620729723984,32400
126,83,-87.6354564589343,41.68098167808161,-87.70109783460308,41.84341982589061,30600
127,83,-87.70109783460308,41.84341982589061,-87.64961044737893,41.861732728967226,32400
128,84,-87.72152568424322,41.81052404985024,-87.70906866467685,41.85133849272933,21600
129,85,-87.6302256016736,41.66809776484731,-87.6865809913609,41.905102105005454,25200
130,86,-87.66921698461985,41.732202888004785,-87.65522776457506,41.85817770852947,75600
131,87,-87.54273710753934,41.74139365426391,-87.72296332423086,41.93892539518371,28800
132,88,-87.7042749157893,41.87076190321493,-87.63469888327151,41.73631714968437,25200
133,89,-87.67146125044208,41.99516591864481,-87.75514948934564,41.888646102217436,21600
134,89,-87.75514948934564,41.888646102217436,-87.76203592838347,41.778192184920634,30600
135,90,-87.6866918477125,41.767749766809835,-87.60896645477439,41.76886979488772,25200
136,90,-87.60896645477439,41.76886979488772,-87.72188486114663,41.82898499249425,30600
137,91,-87.73395779632823,41.84167757687092,-87.64472331515107,41.791821625413334,79200
138,91,-87.64472331515107,41.791821625413334,-87.69320215475268,41.92463823861796,66600
139,92,-87.65485227092309,41.84244097644385,-87.67880562971978,41.939376322909006,23400
140,93,-87.72268916178244,41.971815261869196,-87.74451688026947,41.91242189179268,21600
141,94,-87.70054924177043,41.95887914902687,-87.73752275676566,41.93934614563831,25200
142,94,-87.73752275676566,41.93934614563831,-87.77601178003856,41.97231040292378,32400
143,95,-87.64161555714281,41.726497560625795,-87.63272382379577,41.819266679574746,25200
144,96,-87.75487832735432,41.93620200919962,-87.75907810823044,41.91773880986656,32400
145,96,-87.75907810823044,41.91773880986656,-87.67550305089695,41.933471138188104,64800
146,97,-87.81729877431593,41.996706072881395,-87.7298467341403,41.86926442907514,21600
147,97,-87.7298467341403,41.86926442907514,-87.80321881096451,41.93784883506772,30600
148,98,-87.70906704887005,41.697141126421855,-87.61168561052091,41.68786042457475,25200
149,98,-87.61168561052091,41.68786042457475,-87.65843427452356,41.92932782865974,63000
